category,name,website,applications_open,target_years,eligible,notes,source_id,last_checked,last_changed,snapshot_hash,status,first_seen,muted
Quant firm program,Optiver Quantitative Intern Summer 2027,https://optiver.com/working-at-optiver/career-opportunities/,Open now,Sophomore+ (grad Dec 2027-Jun 2029),NO,"Highest pay in the industry, but you are too early.",,,,,unknown,,false
Quant firm program,Akuna Virtual Quant Trading Challenge,https://akunacapital.com/careers/job/7986086/?gh_jid=7986086,Check site,Open,YES,Write market-making bots against an open exchange.,akunacapital-greenhouse,,,,unknown,,false
Quant firm program,Akuna University - Options 101 / 201,https://akunacapital.com/careers,Always open,Anyone,YES,Self-serve options curriculum.,,,,,unknown,,false
Quant firm program,Akuna Trading Sneak Peek Week,https://akunacapital.com/careers,Check site,Not published,CHECK,"Options crash course: risk management, game theory, decision making.",akunacapital-greenhouse,,,,unknown,,false
Quant firm program,Flow Traders E-House Day,https://www.flowtraders.com/careers,Check site,Open,YES,Virtual ETF / strategy session.,,,,,unknown,,false
Quant firm program,Flow Traders Trading Business Course,https://www.flowtraders.com/careers,Check site,Open,YES,,,,,,unknown,,false
Quant firm program,Discover DRW,https://drw.com/work-at-drw/category/campus,Check site,UNCONFIRMED for 1st year,CHECK,2-day quant trading immersion. Verify class year directly.,,,,,unknown,,false
Quant firm program,Five Rings Winternship,https://fiverings.com/careers,Fall,UNCONFIRMED for 1st year,CHECK,"4 weeks NY: projects, classroom, strategy games, mock trading.",,,,,unknown,,false
Quant firm program,Virtu Financial Women's Winternship,https://www.virtu.com/careers/,Fall,Women,NO,,,,,,unknown,,false
Quant firm program,Cubist Systematic Strategies Hackathon,https://careers.point72.com/,Check site,Students,YES,"NYC, models built on NYC Open Data.",,,,,unknown,,false
Quant firm program,Cubist Quant Academy,https://careers.point72.com/,Check site,Not published,CHECK,,,,,,unknown,,false
Quant firm program,Point72 Academy,https://point72.com/point72-academy/,"Rolling, closes when full",Graduating seniors,NO,"NOT an underclassman program. 10-month paid post-grad program, $125k base. 2027 class wants Dec 2026-Jul 2027 grads.",,,,,unknown,,false
Quant firm program,IMC Prosperity Trading Competition,https://prosperity.imc.com/,Tutorial ~mid-Mar; rounds Apr,18+ and enrolled,YES,"Teams up to 5, $50,000 pool, fully online. Most accessible serious quant competition. Stanford won top-US in year one.",,,,,unknown,,false
Quant firm program,IMC WiT (Women in Technology),https://careers.imc.com/us/en/student-opportunities,Fall,Women,NO,,,,,,unknown,,false
Quant firm program,IMC UK Masterclass,https://careers.imc.com/,Varies,UK-based students,NO,Geographic exclusion - you are US-based.,,,,,unknown,,false
Quant firm program,PEAK6 Trading Bootcamp,https://peak6.com/campus/,Aug; interviews from Jan,Juniors (grad Dec 2026-Jun 2027),NO,"One week, $25-31.25/hr, two sessions (May and Aug).",,,,,unknown,,false
Quant firm program,WorldQuant IQC / BRAIN,https://www.worldquant.com/brain/iqc/,Registration opens ~Mar 17,"18+, university students",YES,Teams of 1-4 from one university. $100k pool. Solo entry allowed. Huge field (140k+ registrations) so mid-table means little.,,,,,unknown,,false
Quant firm program,Two Sigma Undergraduate Scholarship,https://www.twosigma.com/undergraduate-students/,Fall,3rd year of 4-year degree,LATER,"Merit-based (resume, transcript, letters). Guarantees a first-round internship interview.",,,,,unknown,,false
Quant firm program,Two Sigma Diversity Undergraduate Scholarship,https://www.twosigma.com/undergraduate-students/,Fall,"Women, LGBTQ+, underrepresented",NO,,,,,,unknown,,false
Quant firm program,Two Sigma College Mentor Connect,https://www.twosigma.com/undergraduate-students/,Dec-Jan,"Rising sophomore, underrepresented in STEM",NO,6-week remote mentorship on open-source projects.,,,,,unknown,,false
Quant firm program,Two Sigma PhD Fellowship,https://www.twosigma.com/graduate-students/phd-fellowships/,Fall,"PhD, 3rd year+",NO,,,,,,unknown,,false
Quant firm program,Two Sigma Financial Modeling Challenge,https://www.twosigma.com/,Check site,Not published,CHECK,,,,,,unknown,,false
Competition,Cornell Trading Competition,https://cornellquantfund.org/competition,EARLY FALL 2026 - imminent,Any undergrad or masters,YES,"Teams of 4, NO EXPERIENCE NECESSARY, $10k+ prizes, Cornell Tech NYC. Case packets released 2 weeks early.",,,,,unknown,,false
Competition,UChicago Trading Competition,https://tradingcompetition.uchicago.edu/,NOVEMBER 2026,Undergraduate,YES,"PRIORITY TO TEAMS WITHOUT PRIOR TRADING WORK EXPERIENCE - structurally favors freshmen. April event, $15k+ prizes.",,,,,unknown,,false
Competition,Berkeley Trading Competition,https://traders.studentorg.berkeley.edu/competition.html,Winter; event late Feb,Undergrad + grad,YES,"West Coast's premier event, $20,000 pool, 45 min from campus. Best convenience-to-value ratio on this list.",,,,,unknown,,false
Competition,Traders@MIT Trading Competition,https://traders.mit.edu/competition,Winter/spring,Any university,YES,"Largest intercollegiate competition, $20,000+. NOT the same as Pokerbots - this one IS open to you.",,,,,unknown,,false
Competition,Yale Undergraduate Trading Competition,https://www.yale.edu/,Check site,Undergrad + grad,YES,"$10,000+ in prizes, nationwide.",,,,,unknown,,false
Competition,Duke FinTech Trading Competition,https://www.duke.edu/,Check site,Students worldwide,YES,"3 months, paper trading, bracket format. Sponsors include Schonfeld. Lowest time commitment.",,,,,unknown,,false
Competition,Georgetown Quant Club Trading Competition,https://www.georgetownquants.com/competition,Winter; event ~Mar,Students,YES,Newer and less saturated - inaugural event was Mar 2026.,,,,,unknown,,false
Competition,Rotman International Trading Competition,https://www.rotman.utoronto.ca/,"Fall, via your university",University-sponsored team,VIA CLUB,"40+ universities, RIT Market Simulator. Entry runs through Traders @ Stanford, not you directly.",,,,,unknown,,false
Competition,MIT Pokerbots,https://pokerbots.org/,"Dec, for January IAP",MIT registration required,NO,Must be able to register for MIT IAP classes; a team member needs MIT certificates for the competition server.,pokerbots,2026-09-20T12:18:51+00:00,,06d65258bb5c3c186c7c7db68031023271821689fc4fbd1ea75d865b8fd282c8,unknown,,false
Competition,Gemini Collegiate Quantitative Trading Competition,https://www.gemini.com/,Check via student orgs,"Students, allocated by team",CHECK,Trades on the live Gemini exchange under competition accounts.,,,,,unknown,,false
Competition,Kalshi Trading Competition,https://kalshi.com/,Check site,Students,YES,"Event contracts; has offered $5,000 in credits plus a potential internship.",,,,,unknown,,false
Competition,Thinkorswim Challenge,https://www.schwab.com/,Check site,Students,YES,,,,,,unknown,,false
Competition,QuantConnect Quant League,https://www.quantconnect.com/league/,EVERY CALENDAR QUARTER,Students,YES,Continuously open - the only always-available one here.,,,,,unknown,,false
Competition,Citadel Securities Terminal / Terminal AI,https://www.citadelsecurities.com/careers/programs-and-events/,Regional rounds,Any undergrad,YES,Tower-defense algorithm competition. Winners earn access to exclusive job opportunities.,,,,,unknown,,false
Competition,Citadel Datathon / Data Open,https://www.citadel.com/careers/programs-and-events/,Regional then global finals,Any undergrad,YES,Compete to earn an interview. No class-year gate.,,,,,unknown,,false
Competition,Citadel + Correlation One Summer Invitational,https://www.citadel.com/careers/programs-and-events/,Summer,Any undergrad,YES,Another name for the Datathon - do NOT double-apply.,,,,,unknown,,false
Competition,Citadel x Amplify Trading Challenge,https://www.citadel.com/careers/programs-and-events/,Check site,Undergraduate,CHECK,,,,,,unknown,,false
Competition,Putnam Competition,https://maa.org/putnam,Register Sep-Oct; exam early Dec,Any undergraduate,YES,Highest-signal single line you can add to a quant resume in year one. A high placement reportedly overrides GPA and non-target background.,,,,,unknown,,false
Competition,ICPC,https://icpc.global/,Fall,Undergraduate,YES,,,,,,unknown,,false
Competition,Kaggle - Optiver / Jane Street sponsored,https://www.kaggle.com/competitions,Rolling,Anyone,YES,Legitimate substitute if ETC never materialises. Reads as an ML-research credential.,,,,,unknown,,false
Tech internship,Explore Microsoft,https://careers.microsoft.com/v2/global/en/exploremicrosoft,Late summer-fall (2027 US posting not up as of Aug 2026),1st & 2nd year,YES,"12 weeks; rotate through design, build and quality phases in a pod. Set a job alert - no universal date published.",,,,,unknown,,false
Tech internship,Google ASDI (formerly STEP),https://www.google.com/about/careers/applications/,Early fall,1st & 2nd year,YES,"RENAMED - search 'ASDI', not 'STEP'. 12 weeks, paired with a host engineer and a co-intern.",,,,,unknown,,false
Tech internship,NVIDIA Ignite,https://www.nvidia.com/en-us/about-nvidia/careers/university-recruiting/,Aug-Sep; deadline Oct-Nov,Current freshmen & sophomores,YES,"12-week 'pre-internship'. Software / Hardware / Business Ops tracks. Some NVIDIA pages say 'underrepresented communities', main US pages say 'wide range of backgrounds' - do not self-select out.",,,,,unknown,,false
Tech internship,NVIDIA Internship (software / systems),https://www.nvidia.com/en-us/about-nvidia/careers/university-recruiting/,"Aug-Oct, rolling",BS and above,YES,"Long shot but no GPA cutoff. $20-71/hr software + $1,800-2,800/mo housing. Avoid AI-research reqs (8 of 9 want MS/PhD).",,,,,unknown,,false
Tech internship,LinkedIn First Play,https://careers.linkedin.com/,Check site,Completed 1st or 2nd year of CS,YES,,,,,,unknown,,false
Tech internship,Duolingo Thrive,https://careers.duolingo.com/,Check site,Underclassmen,YES,,,,,,unknown,,false
Tech internship,UberSTAR,https://www.uber.com/us/en/careers/,Dec-Jan,Freshman/sophomore,YES,Consistently positive reviews.,,,,,unknown,,false
Tech internship,Capital One TEIP,https://www.capitalonecareers.com/,Dec-Jan,Freshman/sophomore,YES,"Underclassman version of TIP (which is rising-seniors only). Real SWE work, full intern comp.",,,,,unknown,,false
Tech internship,"Google Student Researcher, BS/MS",https://www.google.com/about/careers/applications/,"Deadline Nov 27, 2026 (rolling, may close early)",Any enrolled bachelor's,YES,"MOST UNDERRATED ITEM HERE - research role across Google Research, DeepMind and Cloud with NO class-year gate. Must be US-based.",,,,,unknown,,false
Tech internship,MLH Fellowship,https://fellowship.mlh.io/,"Rolling (fall batch closed Aug 31, 2026)",Any student,YES,,,,,,unknown,,false
Tech internship,Google Summer of Code,https://summerofcode.withgoogle.com/,Orgs announced Feb; apps ~Mar 16-31,"18+, limited prior OSS experience",YES,Design FAVOURS beginners. Pre-application contributions are the strongest predictor of selection - start contributing in January.,,,,,unknown,,false
Tech internship,Databricks Student Fellows,https://www.databricks.com/company/careers,Check site,Undergraduates,YES,,,,,,unknown,,false
Tech internship,Scale AI - AI Builder Intern,https://scale.com/careers,Rolling,"Any undergrad, no class-year gate",YES,,,,,,unknown,,false
Tech internship,Etched - Supercomputing Intern,https://www.etched.com/,Rolling,"Bachelor's-track, no class cutoff",YES,,,,,,unknown,,false
Tech internship,Kalshi - Support Ops Intern,https://kalshi.com/careers,Rolling,No class-year gate,YES,Ops rather than SWE. $20-25/hr.,,,,,unknown,,false
Tech internship,Handshake AI Fellowship,https://joinhandshake.com/ai/,Rolling,Undergrad and above,YES,NOT an internship - 1099 AI-training gig work. Math queues pay the top tier ($17-125/hr). Volatile workflow; two lawsuits allege withheld payments. Read each project's time cap.,,,,,unknown,,false
Tech internship,Meta University,n/a,CANCELLED Jan 2025,n/a,NO,Discontinued with no replacement. Ignore any list that still includes it.,,,,,unknown,,false
Tech internship,Palantir Path,n/a,REPLACED by Palantir Accelerate,n/a,NO,,,,,,unknown,,false
Tech internship,Coding it Forward - Civic Digital Fellowship,https://www.codingitforward.com/fellowship,Winter,"Juniors, seniors, recent grads",NO,TRAP - appears on most underclassmen lists but 2026 required graduating May 2025-Dec 2027. Diary for junior year.,,,,,unknown,,false
Tech internship,PwC AI Externship (via Extern),https://www.extern.com/pwc-ai-externships,Rolling,Any,LOW VALUE,"4 weeks, ~5 hrs/wk, $100 stipend. Aimed at career changers with empty resumes. The in-person PwC AI Workshop ($50) is a cheaper afternoon.",,,,,unknown,,false
Research / math,DOE SULI,https://science.osti.gov/wdts/suli,Summer cycle opens fall; deadline ~Jan,NO class-year requirement,YES,"TOP PICK. Any full-time undergrad, 18+, 3.0 GPA, US citizen or LPR. Name SLAC as first choice and email slacinternships@slac.stanford.edu.",,,,,unknown,,false
Research / math,Polymath Jr REU,https://geometrynyc.wixsite.com/polymathreu,Deadline ~Apr 1,Any undergrad with proof-writing experience,YES,"Online, groups of 10-25 working toward a paper. No citizenship restriction. Part-time allowed, so it stacks with something else.",,,,,unknown,,false
Research / math,UChicago Math REU - Apprentice Program,https://math.uchicago.edu/~may/REU2026/,Deadline ~Feb 6,Freshmen & sophomores,YES,"Built for you: 5 weeks, discrete math, for students not yet in advanced courses. Apprentices often return to the full program.",,,,,unknown,,false
Research / math,PCMI Undergraduate Summer School,https://www.ias.edu/pcmi,Deadline Jan 31 (via MathPrograms.org),All undergraduate levels,YES,"3 weeks in residence + Experimental Math Lab. Prereqs vary by year's theme - 2026 needed group theory, 2025 only combinatorics.",,,,,unknown,,false
Research / math,Math REU master list (2027),https://sites.google.com/view/mathreu,Dec-Feb,Varies by site,YES,Spreadsheet of REUs planning to run in summer 2027.,,,,,unknown,,false
Research / math,REU Finder - freshman-eligible filter,https://reufinder.com/programs-for-freshmen/,Dec-Feb,Freshmen,YES,,,,,,unknown,,false
Research / math,NASA Internships,https://intern.nasa.gov/,Year-round,Varies by posting,YES,Many individual postings accept freshmen.,,,,,unknown,,false
Research / math,SLAC internships (beyond SULI),https://careers.slac.stanford.edu/,Varies,Varies,YES,e.g. the LCLS internship. A mile from campus.,,,,,unknown,,false
Stanford-only,Stanford CURIS,https://curis.stanford.edu/,Jan 27 - Feb 10,Any Stanford undergrad,YES,CS dept paid summer research. Project list posted late Jan. Also lists year-round projects for units or hourly pay.,,,,,unknown,,false
Stanford-only,Stanford SURIM,https://mathematics.stanford.edu/,Deadline ~Feb 26,Stanford undergrads with proof-writing coursework,YES,"8 weeks, $8,500 + up to $1,500 need-based. Needs MATH 56/61CM/61DM/110/113/115 first, and 2 letters (1 from Stanford Math).",,,,,unknown,,false
Stanford-only,Stanford SymSys Summer Internships,https://symsys.stanford.edu/,Priority Feb 18; opens to non-majors Mar 9,Stanford undergrads,YES,"$8,500 + up to $1,500. A real backdoor if funds remain after the priority window.",,,,,unknown,,false
Stanford-only,Stanford VPUE Major Grant,https://undergradresearch.stanford.edu/,"Faculty mentor letter due Mar 8, 2027",Priority to juniors,LATER,"$8,500 full-time summer. No GPA requirement.",,,,,unknown,,false
Stanford-only,Stanford VPUE Faculty / Departmental Grants,https://undergradresearch.stanford.edu/,Faculty Feb 15; Departmental Oct 31,Any Stanford undergrad,YES,THE right entry point for a freshman - a professor applies on your behalf. VPUE calls these 'good starting points'.,,,,,unknown,,false
Stanford-only,Stanford VPUE Small Grants,https://undergradresearch.stanford.edu/,Quarterly deadlines,Any Stanford undergrad,YES,"Part-time, year-round. Good way to start something this winter.",,,,,unknown,,false
Stanford-only,Stanford Directed Reading Program (math),https://mathematics.stanford.edu/,Start of each quarter,"Any Stanford undergrad, any major",YES,"Quarter with a grad-student mentor, ends in a colloquium talk. Near-zero barrier and the cheapest route to a SURIM letter.",,,,,unknown,,false
Stanford-only,Stanford CS Section Leading (106A/B),https://cs198.stanford.edu/,Each quarter,After taking 106A/106B,YES,"Paid, prestigious, sophomores routinely hold it. Take the courses this year to qualify.",,,,,unknown,,false
Stanford-only,Traders @ Stanford / Quant Gym,https://www.stanfordacm.org/quantGym,Fall,Any Stanford undergrad,YES,JOIN IN WEEK ONE. Nearly every competition on this sheet is team-based and university-affiliated; this is where teams and invites form.,,,,,unknown,,false
Stanford-only,Stanford Finance,https://www.stanfordfinance.stanford.edu/,Fall,Any Stanford undergrad,YES,"Workshop series, networking, 1:1 officer mentorship.",,,,,unknown,,false
Stanford-only,Stanford opportunity portal (SOLO),https://solo.stanford.edu/,Always open,Any Stanford student,YES,Aggregates all of the above.,,,,,unknown,,false
Conference / other,Princeton Quant Trading Conference,https://www.princeton.edu/,Fall (at IIT) and spring (at Princeton),Students,YES,"Networking value, low signal value. Pick at most one conference.",,,,,unknown,,false
Conference / other,Columbia Future of Portfolio Management Conference,https://www.columbia.edu/,Check site,Students,YES,,,,,,unknown,,false
Conference / other,Quaint Quant Conference (UT Dallas),https://www.utdallas.edu/,Check site,Students,YES,,,,,,unknown,,false
Conference / other,4th Quantitative Finance Conference USA (NYC),Check organiser site,Check site,Open registration,YES,,,,,,unknown,,false
Conference / other,QuantVision (Fordham),https://www.fordham.edu/,Check site,Open registration,YES,,,,,,unknown,,false
Conference / other,Urban Initiative Traders Poker Tournament,Check organiser site,Check site,Students,YES,,,,,,unknown,,false
Conference / other,Tapia Conference,https://tapiaconference.cmd-it.org/,Spring,"Open, but serves underrepresented groups in computing",LOW VALUE,You can attend; low relative value for you.,,,,,unknown,,false
Conference / other,JPMorgan Code for Good,https://careers.jpmorgan.com/,Fall,VERIFY - historically broader across years,CHECK,Some Data for Good editions have been HBCU-specific. Check the specific posting.,,,,,unknown,,false
Conference / other,JPMorgan Data for Good Hackathon,https://careers.jpmorgan.com/,Jul-Aug,Graduating Dec 2027 - Aug 2028,NO,That is a junior-year window. Not you.,,,,,unknown,,false
Conference / other,JPM Quantitative Research Virtual Experience (Forage),https://www.theforage.com/,Always open,Anyone,YES,"Free, self-paced, no gate. Low signal but zero cost.",,,,,unknown,,false
Local (St. Louis),NISA Investment Advisors - Intern,https://careers.nisa.com/early-careers,Fall-winter,Prefers Winter 2026 / Spring 2027 grads,APPLIED - too early,"Clayton MO, 10 min from home. Real quant work: Monte Carlo, regression, proprietary modelling. Reapply each cycle.",,,,,unknown,,false
Local (St. Louis),Stifel - Institutional Group Internship,https://www.stifel.com/careers/internships,"~Nov, rolling per office/desk",Juniors,LATER,"9-10 weeks, St. Louis HQ. Prior cycle opened Nov 16.",,,,,unknown,,false
Local (St. Louis),Edward Jones Internship,https://careers.edwardjones.com/career-areas/students-and-recent-grads/,Fall,Juniors,LATER,"10-week program, St. Louis or Tempe.",,,,,unknown,,false
Local (St. Louis),Regional firms to cold-email,n/a,Sep and Jan,No structured freshman programs,YES,"Kennedy Capital, Argent Capital, Confluence, Moneta, Advantage Capital, Guggenheim STL, RGA; tech: Mastercard O'Fallon, Boeing Defense, WWT. Email a PM or quant research lead directly - no portal.",,,,,unknown,,false
Tracker / resource,NUFT 2027 Quant Internships,https://github.com/northwesternfintech/2027QuantInternships,Continuous,n/a,USE WEEKLY,47 firms. No class-year tags - use as a firm checklist and open each careers page yourself.,nuft-2027,2026-09-20T12:18:51+00:00,,f90903971b920280ad43ef8f506a9e2e56f224a999aaf8211cf31a4eda87bef2,unknown,,false
Tracker / resource,SimplifyJobs Summer 2027 Internships,https://github.com/SimplifyJobs/Summer2027-Internships,Continuous,n/a,LOW VALUE,"613 roles, 94 quant, but no class-year tagging and almost all target penultimate-year students.",simplify-2027,2026-09-20T12:18:51+00:00,2026-09-20T12:18:51+00:00,90b15d324068352a47399957f08b65cbd04e5aa6a144547f6689c0b59989aa5b,unknown,,false
Tracker / resource,underclassmen-opportunities (Cruz-Lopez),https://github.com/Jose-Gael-Cruz-Lopez/underclassmen-opportunities,Continuous,Freshman/sophomore,USE WEEKLY,"Better maintained than zapplyjobs, with open/closing-soon flags. Heavy on ambassador programs - filter hard.",underclassmen-cruz,2026-09-20T12:18:51+00:00,2026-09-18T12:19:00+00:00,d605a0e1ee5879383316242ff0280132a6a10ea394b4e02b6497340361b17403,unknown,,false
